account,issue_count,n-projects
watson-github-bot,0,0.0
openshift-ci-robot,0,0.0
datastax-bot,0,0.0
deepcode-ci-bot,0,0.0
algolia-api-client-bot,0,0.0
resin-io-versionbot,0,0.0
ConfluentCLABot,0,0.0
lucas-bot,0,0.0
zcabot,0,0.0
yii-bot,0,0.0
doppins-bot,0,0.0
dep-bot,0,0.0
sourcelevel-bot,0,0.0
symfony-skeleton-bot,0,0.0
hawkbit-bot,0,0.0
monty-bot,0,0.0
xcoderobot,0,0.0
electron-bot,0,0.0
parity-cla-bot,0,0.0
angular-automatic-lock-bot,0,0.0
probot-shopify,0,0.0
go-cloud-bot,0,0.0
msftbot,0,0.0
changeset-bot,0,0.0
ApplozicBot,0,0.0
gpii-bot,0,0.0
upbound-bot,0,0.0
landscape-bot,0,0.0
voidraybot,0,0.0
conventional-release-bot,0,0.0
dry-python-bot,0,0.0
realm-probot,0,0.0
generic-probot-app-workflow,0,0.0
GK-keeper-bot,0,0.0
fozzie-bot,0,0.0
dependabot,0,0.0
eclipse-jaxb-impl-bot,0,0.0
kubermatic-bot,0,0.0
ladybugbot,0,0.0
mainio-integration-bot,0,0.0
solo-git-bot,0,0.0
reakit-bot,0,0.0
bens-danger-bot,0,0.0
webhookbotuser,0,0.0
runnabot,0,0.0
concourse-bot,0,0.0
garvisbot-tianhaoz,0,0.0
garvisbot,0,0.0
amp-owners-bot,0,0.0
sre-bot,0,0.0
typescript-bot,0,0.0
bedevere-bot,0,0.0
42bot,0,0.0
hospitalrunbot,0,0.0
zorro-bot,0,0.0
theguild-bot,0,0.0
cargo-dep-bot,0,0.0
cypress-bot,0,0.0
echarts-bot,0,0.0
dotnet-bot,0,0.0
minikube-pr-bot,0,0.0
nacho-bot,0,0.0
jenkins-x-bot,0,0.0
bits-bot,0,0.0
metamaskbot,0,0.0
vtex-io-docs-bot,0,0.0
solo-changelog-bot,0,0.0
nusmods-deploy-bot,0,0.0
tykbot,0,0.0
status-github-bot,0,0.0
weex-bot,0,0.0
minikube-bot,0,0.0
mdc-web-bot,0,0.0
daisy-bot,0,0.0
aws-afr-bot,0,0.0
libra-cla-bot,0,0.0
WeTransferBot,0,0.0
fusionjs-sync-bot,0,0.0
spacchettibotti,0,0.0
hacs-bot,0,0.0
sumupbot,0,0.0
mixmax-bot,0,0.0
miroculusbot,0,0.0
docker-compose-qa-bot,0,0.0
asanabot,0,0.0
matrixbot,0,0.0
opendatakit-bot,0,0.0
oni-bot,0,0.0
open-collective-bot,0,0.0
ionitron-bot,0,0.0
issue-label-bot,0,0.0
appsflyerbot,0,0.0
matts-bot,0,0.0
taro-ui-bot,0,0.0
bazel-flag-bot,0,0.0
build-cop-bot,0,0.0
devtools-bot,0,0.0
kf-label-bot-dev,0,0.0
athenabot,0,0.0
taro-bot,0,0.0
swaglyricsbot,0,0.0
pull-assistant,0,0.0
selenium-assistant,0,0.0
gitpod-io-legacy-app,0,0.0
vtex-io-ci-cd,0,0.0
similar-code-searcher,0,0.0
mailgun-ci,0,0.0
sprucelabs-ci,0,0.0
nexus-ci,0,0.0
centos-ci,0,0.0
mesosphere-ci,0,0.0
pika-ci,0,0.0
taskcat-ci,0,0.0
nmattia-autoupdate,0,0.0
yoshi-automation,0,0.0
arcus-automation,0,0.0
opa-updater-automation,0,0.0
ibm-devx-automation,0,0.0
openapi-sdkautomation,0,0.0
auto-comment,0,0.0
zeebe-bors,0,0.0
request-info,0,0.0
peril-staging,0,0.0
github-actions,0,0.0
msftclas,0,0.0
